"Language Code","Language Name","Enabled","Flag","Based On"
"zh-TW","繁體中文",1,"",""
"zh","简体中文",1,"",""
"vi","Việt",1,"",""
"uz","Ўзбек",1,"",""
"ur","اردو",1,"",""
"uk","українська",1,"",""
"tr","Türkçe",1,"",""
"th","ไทย",1,"",""
"te","తెలుగు",1,"",""
"ta","தமிழ்",1,"",""
"sw","Swahili",1,"",""
"sv","Svenska",1,"",""
"sr-BA","Srpski",1,"",""
"sr","српски",1,"",""
"sq","Shqiptar",1,"",""
"sl","Slovenščina (Slovene)",1,"",""
"sk","Slovenčina (Slovak)",1,"",""
"si","සිංහල",1,"",""
"rw","Kinyarwanda",1,"",""
"ru","русский",1,"",""
"ro","Român",1,"",""
"pt-BR","Português Brasileiro",1,"",""
"pt","Português",1,"",""
"ps","پښتو",1,"",""
"pl","Polski",1,"",""
"no","Norsk",1,"",""
"nl","Nederlands",1,"",""
"nb","Norsk Bokmål",1,"",""
"my","မြန်မာ",1,"",""
"ms","Melayu",1,"",""
"mr","मराठी",1,"",""
"mn","Монгол (Mongolian)",1,"",""
"ml","മലയാളം",1,"",""
"mk","македонски",1,"",""
"lv","Latviešu valoda",1,"",""
"lt","Lietuvių kalba",1,"",""
"lo","ລາວ",1,"",""
"ku","کوردی",1,"",""
"ko","한국의",1,"",""
"kn","ಕನ್ನಡ",1,"",""
"km","ភាសាខ្មែរ",1,"",""
"ja","日本語",1,"",""
"it","Italiano",1,"",""
"is","íslenska",1,"",""
"id","Indonesia",1,"",""
"hu","Magyar",1,"",""
"hr","Hrvatski",1,"",""
"hi","हिंदी",1,"",""
"he","עברית",1,"",""
"gu","ગુજરાતી",1,"",""
"fr-CA","Français Canadien",1,"",""
"fr","Français",1,"",""
"fil","Filipino",1,"",""
"fi","Suomi",1,"",""
"fa","پارسی",1,"",""
"et","Eesti",1,"",""
"es-PE","Español (Perú)",1,"",""
"es-NI","Español (Nicaragua)",1,"",""
"es-MX","Español (México)",1,"",""
"es-GT","Español (Guatemala)",1,"",""
"es-EC","Español (Ecuador)",1,"",""
"es-DO","Español (República Dominicana)",1,"",""
"es-CO","Español (Colombia)",1,"",""
"es-CL","Español (Chile)",1,"",""
"es-BO","Español (Bolivia)",1,"",""
"es-AR","Español (Argentina)",1,"",""
"es","Español",1,"",""
"eo","In-Context Translation",1,"",""
"en-US","English (United States)",1,"",""
"en-GB","English (United Kingdom)",1,"",""
"en","English",1,"",""
"el","ελληνικά",1,"",""
"de","Deutsch",1,"",""
"da-DK","Dansk (Danmark)",1,"",""
"da","Dansk",1,"",""
"cs","česky",1,"",""
"ca","Català",1,"",""
"bs","Bosanski",1,"",""
"bo","ལྷ་སའི་སྐད་",1,"",""
"bn","বাঙালি",1,"",""
"bg","Bǎlgarski",1,"",""
"ar","العربية",1,"",""
"am","አማርኛ",1,"",""
"af","Afrikaans",1,"",""
